,unit_number,time,operational_setting_1,operations_setting_2,operational_setting_3,_sensor_1,_sensor_2,_sensor_3,_sensor_4,_sensor_5,_sensor_6,_sensor_7,_sensor_8,_sensor_9,_sensor_10,_sensor_11,_sensor_12,_sensor_13,_sensor_14,_sensor_15,_sensor_16,_sensor_17,_sensor_18,_sensor_19,_sensor_20,_sensor_21,anomaly
534,7,20,0.0011,-0.0002,100.0,518.67,641.57,1586.02,1390.45,14.62,21.6,554.87,2387.98,9065.04,1.3,47.06,522.91,2387.98,8137.62,8.4137,0.03,393,2388,100.0,38.98,23.4491,-1
610,7,96,0.0005,-0.0004,100.0,518.67,642.17,1589.87,1397.22,14.62,21.6,554.42,2387.98,9057.39,1.3,47.12,522.42,2387.94,8150.31,8.389,0.03,392,2388,100.0,38.89,23.4167,-1
643,7,129,0.0007,0.0005,100.0,518.67,642.07,1580.13,1399.68,14.62,21.6,553.8,2387.99,9069.26,1.3,47.03,521.97,2388.04,8151.47,8.3928,0.03,393,2388,100.0,38.93,23.4618,-1
898,10,3,0.0027,-0.0003,100.0,518.67,641.77,1574.22,1400.07,14.62,21.6,554.38,2388.04,9058.28,1.3,46.95,522.22,2388.0,8141.22,8.3763,0.03,391,2388,100.0,39.31,23.4285,-1
906,10,11,0.0017,0.0004,100.0,518.67,642.12,1586.52,1391.67,14.62,21.6,554.57,2388.0,9058.72,1.3,47.14,522.3,2388.05,8141.49,8.4277,0.03,391,2388,100.0,39.06,23.5571,-1
907,10,12,-0.0025,-0.0003,100.0,518.67,642.59,1581.95,1396.57,14.62,21.6,554.79,2388.09,9069.92,1.3,46.93,522.4,2388.04,8142.06,8.3964,0.03,393,2388,100.0,39.2,23.3934,-1
929,10,34,-0.0021,-0.0003,100.0,518.67,642.36,1581.1,1395.95,14.62,21.6,554.65,2387.96,9055.54,1.3,47.16,522.07,2387.98,8150.1,8.432,0.03,392,2388,100.0,38.98,23.4401,-1
1179,12,9,-0.0007,-0.0003,100.0,518.67,642.45,1584.96,1398.13,14.62,21.6,554.92,2388.02,9051.02,1.3,47.13,522.47,2388.03,8140.64,8.4005,0.03,393,2388,100.0,39.13,23.4292,-1
1205,12,35,-0.0012,-0.0002,100.0,518.67,641.79,1579.48,1390.78,14.62,21.6,554.61,2388.04,9063.86,1.3,47.27,522.08,2387.97,8144.57,8.3775,0.03,391,2388,100.0,39.14,23.3413,-1
1269,12,99,-0.004,-0.0001,100.0,518.67,642.32,1576.94,1393.8,14.62,21.6,554.39,2388.01,9061.24,1.3,47.13,522.11,2388.07,8140.73,8.4521,0.03,391,2388,100.0,38.95,23.3698,-1
1289,12,119,0.0031,0.0001,100.0,518.67,641.96,1587.09,1398.02,14.62,21.6,552.82,2387.97,9063.53,1.3,47.23,522.14,2388.04,8138.24,8.4049,0.03,392,2388,100.0,39.1,23.4048,-1
1426,13,39,0.0011,-0.0003,100.0,518.67,641.59,1577.02,1404.88,14.62,21.6,554.1,2388.0,9057.67,1.3,47.19,522.62,2387.96,8141.88,8.4182,0.03,392,2388,100.0,39.0,23.3596,-1
1439,13,52,0.0009,-0.0,100.0,518.67,642.35,1582.29,1394.14,14.62,21.6,554.86,2387.98,9065.72,1.3,47.04,521.96,2388.02,8143.37,8.3773,0.03,392,2388,100.0,39.08,23.3915,-1
1846,17,29,0.0012,0.0,100.0,518.67,642.61,1589.61,1399.89,14.62,21.6,554.63,2388.04,9069.28,1.3,47.06,522.34,2388.02,8147.67,8.4193,0.03,391,2388,100.0,38.77,23.5256,-1
1849,17,32,-0.0025,-0.0001,100.0,518.67,642.63,1584.13,1396.46,14.62,21.6,554.49,2387.99,9071.68,1.3,47.16,522.02,2387.97,8152.45,8.3983,0.03,393,2388,100.0,39.23,23.3131,-1
1985,18,3,0.003,-0.0002,100.0,518.67,642.13,1579.88,1403.75,14.62,21.6,555.12,2388.0,9065.54,1.3,47.01,522.41,2387.96,8141.15,8.3775,0.03,391,2388,100.0,39.08,23.4489,-1
2011,18,29,-0.0003,0.0001,100.0,518.67,642.13,1581.64,1396.24,14.62,21.6,554.5,2388.01,9067.86,1.3,47.18,522.13,2388.01,8152.45,8.4234,0.03,390,2388,100.0,39.09,23.5158,-1
2123,19,8,0.0043,0.0005,100.0,518.67,642.03,1580.65,1399.37,14.62,21.6,554.42,2388.04,9047.37,1.3,47.14,522.74,2388.02,8137.72,8.387,0.03,389,2388,100.0,38.93,23.3998,-1
2134,19,19,-0.0015,0.0004,100.0,518.67,641.4,1582.46,1398.55,14.62,21.6,554.44,2388.02,9058.04,1.3,47.21,522.45,2388.02,8143.13,8.3665,0.03,392,2388,100.0,39.06,23.4688,-1
2505,21,71,0.0028,0.0002,100.0,518.67,642.4,1586.74,1399.32,14.62,21.6,554.64,2388.05,9063.3,1.3,47.25,522.61,2388.06,8135.55,8.4148,0.03,391,2388,100.0,39.28,23.4189,-1
2506,21,72,-0.0013,0.0001,100.0,518.67,642.41,1579.78,1395.03,14.62,21.6,554.1,2388.01,9053.14,1.3,46.99,522.56,2388.01,8145.45,8.4349,0.03,393,2388,100.0,39.01,23.3554,-1
2544,21,110,-0.0001,-0.0004,100.0,518.67,641.61,1586.93,1395.25,14.62,21.6,553.91,2388.05,9061.23,1.3,47.18,521.88,2388.05,8151.01,8.4323,0.03,391,2388,100.0,38.73,23.4853,-1
2623,23,2,0.0023,-0.0002,100.0,518.67,642.26,1586.19,1397.23,14.62,21.6,554.55,2388.01,9040.59,1.3,47.27,522.69,2388.03,8134.32,8.3723,0.03,393,2388,100.0,39.11,23.4347,-1
2635,23,14,-0.0007,-0.0001,100.0,518.67,641.67,1581.96,1390.22,14.62,21.6,554.36,2388.06,9054.57,1.3,47.16,521.84,2388.05,8136.57,8.3567,0.03,391,2388,100.0,39.14,23.4645,-1
2642,23,21,0.0019,0.0003,100.0,518.67,641.78,1586.84,1394.42,14.62,21.6,555.09,2388.01,9053.31,1.3,47.09,522.0,2388.0,8131.07,8.4171,0.03,391,2388,100.0,38.84,23.4243,-1
2675,23,54,-0.0018,-0.0003,100.0,518.67,642.03,1578.13,1402.84,14.62,21.6,554.09,2388.09,9051.33,1.3,47.04,521.67,2387.97,8138.23,8.3997,0.03,393,2388,100.0,38.77,23.4433,-1
