,unit_number,time,operational_setting_1,operations_setting_2,operational_setting_3,_sensor_1,_sensor_2,_sensor_3,_sensor_4,_sensor_5,_sensor_6,_sensor_7,_sensor_8,_sensor_9,_sensor_10,_sensor_11,_sensor_12,_sensor_13,_sensor_14,_sensor_15,_sensor_16,_sensor_17,_sensor_18,_sensor_19,_sensor_20,_sensor_21,anomaly
180,1,181,-0.0006,0.0005,100.0,518.67,643.44,1596.71,1420.64,14.62,21.61,551.83,2388.23,9038.29,1.3,48.1,520.43,2388.23,8114.79,8.472,0.03,397,2388,100.0,38.34,23.1652,-1
181,1,182,-0.001,0.0003,100.0,518.67,644.21,1602.08,1426.62,14.62,21.61,551.9,2388.26,9041.23,1.3,47.98,520.46,2388.25,8119.67,8.5158,0.03,397,2388,100.0,38.43,23.1787,-1
183,1,184,0.0004,0.0003,100.0,518.67,644.07,1605.44,1432.52,14.62,21.61,551.0,2388.24,9047.91,1.3,48.07,519.77,2388.28,8115.61,8.5133,0.03,395,2388,100.0,38.43,23.0146,-1
186,1,187,-0.0047,-0.0,100.0,518.67,643.32,1592.1,1427.27,14.62,21.61,551.08,2388.29,9037.71,1.3,48.23,519.53,2388.28,8115.67,8.5218,0.03,396,2388,100.0,38.42,23.0822,-1
187,1,188,-0.0067,0.0003,100.0,518.67,643.75,1602.38,1422.78,14.62,21.61,551.94,2388.31,9037.91,1.3,48.0,519.79,2388.23,8117.69,8.5207,0.03,396,2388,100.0,38.51,22.9588,-1
188,1,189,-0.0006,0.0002,100.0,518.67,644.18,1596.17,1428.01,14.62,21.61,550.7,2388.27,9044.55,1.3,48.08,519.58,2388.33,8117.51,8.5183,0.03,395,2388,100.0,38.48,23.1127,-1
189,1,190,-0.0027,0.0001,100.0,518.67,643.64,1599.22,1425.95,14.62,21.61,551.29,2388.29,9040.58,1.3,48.33,520.04,2388.35,8112.58,8.5223,0.03,398,2388,100.0,38.49,23.0675,-1
190,1,191,-0.0,-0.0004,100.0,518.67,643.34,1602.36,1425.77,14.62,21.61,550.92,2388.28,9042.76,1.3,48.15,519.57,2388.3,8114.61,8.5174,0.03,394,2388,100.0,38.45,23.1295,-1
191,1,192,0.0009,-0.0,100.0,518.67,643.54,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,1.3,48.25,520.08,2388.32,8110.93,8.5113,0.03,396,2388,100.0,38.48,22.9649,-1
192,2,1,-0.0018,0.0006,100.0,518.67,641.89,1583.84,1391.28,14.62,21.6,554.53,2388.01,9054.72,1.3,46.93,522.33,2388.06,8137.72,8.3905,0.03,391,2388,100.0,38.94,23.4585,-1
194,2,3,0.0018,0.0003,100.0,518.67,641.55,1588.32,1398.96,14.62,21.6,555.14,2388.04,9054.24,1.3,47.22,522.58,2387.99,8140.58,8.3802,0.03,391,2388,100.0,39.11,23.425,-1
196,2,5,0.0005,0.0004,100.0,518.67,641.73,1579.03,1402.52,14.62,21.6,555.12,2388.03,9058.15,1.3,47.25,522.27,2387.94,8136.67,8.3867,0.03,390,2388,100.0,39.18,23.4234,-1
200,2,9,0.0017,-0.0004,100.0,518.67,641.98,1581.99,1395.01,14.62,21.6,554.69,2388.02,9051.67,1.3,47.14,522.4,2387.98,8145.29,8.3868,0.03,390,2388,100.0,39.06,23.4875,-1
201,2,10,-0.0045,0.0002,100.0,518.67,641.99,1586.37,1394.86,14.62,21.6,554.63,2387.99,9058.88,1.3,47.21,521.99,2387.97,8138.64,8.3982,0.03,391,2388,100.0,39.2,23.6005,-1
243,2,52,-0.001,-0.0001,100.0,518.67,641.52,1588.48,1401.66,14.62,21.6,554.76,2388.0,9056.25,1.3,47.09,522.58,2388.01,8134.22,8.4064,0.03,392,2388,100.0,39.08,23.3668,-1
246,2,55,-0.0035,-0.0004,100.0,518.67,642.33,1585.59,1387.16,14.62,21.6,554.54,2388.02,9044.62,1.3,47.18,522.7,2388.02,8134.65,8.4077,0.03,392,2388,100.0,39.11,23.3779,-1
